"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.739701748E-2,6.507814271E1,2.545187225E1,4.840925217E0,2.233467963E1,NaN,NaN,1.417179889E-2,1.616180551E2,6.000000000E0,-1.000000000E0
5.992302895E-1,6.507819270E1,2.545215047E1,1.566009712E1,3.315383606E1,2.369999886E0,1.462500000E2,1.665320139E-2,8.151602993E0,1.600000000E1,-1.000000000E0
1.772222519E0,6.507819811E1,2.545220185E1,3.516571045E0,2.101030561E1,2.369999886E0,9.210937500E1,1.850104738E-2,3.598864627E0,8.000000000E0,-1.000000000E0
2.772212863E0,6.507820921E1,2.545223119E1,1.493755341E0,1.898749057E1,1.490000010E0,7.136718750E1,2.018254629E-2,3.535533906E0,4.000000000E0,-1.000000000E0
3.772206068E0,6.507821735E1,2.545226145E1,1.233638763E0,1.872737337E1,1.409999967E0,7.945312500E1,2.177561689E-2,3.535533906E0,3.000000000E0,-1.000000000E0
4.772193551E0,6.507822527E1,2.545228978E1,9.555149078E-1,1.844924905E1,1.440000057E0,6.925781250E1,2.351151913E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.772182822E0,6.507823520E1,2.545231836E1,1.854457855E-1,1.767918023E1,1.539999962E0,6.398437500E1,2.526977291E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.772617817E0,6.507824622E1,2.545234527E1,1.183185577E-1,1.761205394E1,1.539999962E0,5.660156250E1,2.701404270E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.772653580E0,6.507825779E1,2.545237041E1,-1.198921204E-1,1.737384465E1,1.539999962E0,5.273437500E1,2.870880167E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.772667885E0,6.507826936E1,2.545239396E1,-2.750339508E-1,1.721870439E1,1.490000010E0,4.992187500E1,3.036848430E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.772699714E0,6.507828126E1,2.545241534E1,-2.473773956E-1,1.724636294E1,1.490000010E0,4.429687500E1,3.199990018E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.077272367E1,6.507829400E1,2.545243260E1,-4.719829559E-1,1.702176022E1,1.480000019E0,3.691406250E1,3.364839516E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.177273452E1,6.507830720E1,2.545244861E1,-3.546085358E-1,1.713913782E1,1.480000019E0,3.164062500E1,3.522407220E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.277276492E1,6.507832057E1,2.545245976E1,-5.402164459E-1,1.695353377E1,1.399999976E0,2.460937500E1,3.662004921E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.377279103E1,6.507833198E1,2.545247216E1,-5.402085986E-1,1.695354455E1,1.399999976E0,2.460938624E1,3.839642940E-2,4.660515088E0,3.479099904E0,-1.000000000E0
1.477280116E1,6.507834791E1,2.545247511E1,-2.692200951E-1,1.722453896E1,1.549999952E0,1.687500867E1,4.012653412E-2,4.660515170E0,3.479099795E0,-1.000000000E0
1.577282751E1,6.507836335E1,2.545247043E1,-2.083260817E-1,1.728543966E1,1.549999952E0,6.328128294E0,4.178903177E-2,4.660515254E0,3.479099683E0,-1.000000000E0
1.677284849E1,6.507837810E1,2.545246464E1,3.202463966E-2,1.752579693E1,1.549999952E0,1.054688050E0,4.336589201E-2,4.660515335E0,3.479099574E0,-1.000000000E0
1.777285123E1,6.507839206E1,2.545245873E1,1.867392091E-1,1.768051776E1,1.490000010E0,3.585937493E2,4.490425609E-2,4.660515414E0,3.479099468E0,-1.000000000E0
1.877286780E1,6.507840576E1,2.545245415E1,3.139917860E-1,1.780777632E1,1.490000010E0,3.578906239E2,4.611068099E-2,4.660515490E0,3.479099366E0,-1.000000000E0
1.977288365E1,6.507841661E1,2.545245446E1,6.231310209E-1,1.811691979E1,1.399999976E0,1.406250662E0,4.694230515E-2,4.660515552E0,3.479099283E0,-1.000000000E0
2.077288210E1,6.507842354E1,2.545246113E1,1.388691116E0,1.888248178E1,1.120000005E0,1.019531632E1,4.835552833E-2,4.660515597E0,3.479099223E0,-1.000000000E0
2.177287817E1,6.507843623E1,2.545245955E1,1.627577023E0,1.912137289E1,1.269999981E0,7.031252997E0,5.036020438E-2,4.660515663E0,3.479099135E0,-1.000000000E0
2.277287412E1,6.507845425E1,2.545246048E1,4.554484086E-1,1.794925127E1,1.559999943E0,6.328128315E0,5.214084187E-2,4.660515755E0,3.479099012E0,-1.000000000E0
2.377286947E1,6.507847020E1,2.545246403E1,-1.142947929E0,1.635086077E1,1.409999967E0,7.382815993E0,5.394969763E-2,4.660515846E0,3.479098890E0,-1.000000000E0
2.477286422E1,6.507848640E1,2.545246733E1,-1.745311515E0,1.574850316E1,1.409999967E0,1.019531731E1,5.563892880E-2,4.660515935E0,3.479098771E0,-1.000000000E0
2.577285886E1,6.507850065E1,2.545247987E1,-2.202214980E0,1.529160372E1,1.379999995E0,2.039063427E1,5.739624082E-2,4.660516014E0,3.479098665E0,-1.000000000E0
2.677285314E1,6.507851637E1,2.545248369E1,-3.344800735E0,1.414902369E1,1.370000005E0,1.441406908E1,5.918858766E-2,4.660516098E0,3.479098551E0,-1.000000000E0
2.777284825E1,6.507853230E1,2.545248944E1,-3.939229746E0,1.355460023E1,1.389999986E0,1.582031981E1,6.089630073E-2,4.660516185E0,3.479098436E0,-1.000000000E0
2.877284181E1,6.507854763E1,2.545248692E1,-4.127897048E0,1.336593929E1,1.370000005E0,5.625002589E0,6.260254259E-2,4.682961647E0,3.448826938E0,-1.000000000E0
2.977283657E1,6.507856233E1,2.545249729E1,-4.203513882E0,1.329032695E1,1.389999986E0,1.125000523E1,6.491086335E-2,4.991795028E0,3.222993007E0,-1.000000000E0
3.077283049E1,6.507858277E1,2.545250600E1,-4.423188937E0,1.307065885E1,1.419999957E0,1.195313067E1,6.729104655E-2,7.303746213E0,4.000000000E0,-1.000000000E0
3.177282405E1,6.507860262E1,2.545252500E1,-4.566802722E0,1.292705048E1,1.549999952E0,1.828125937E1,6.928046421E-2,8.519186568E0,4.000000000E0,-1.000000000E0
3.277281785E1,6.507862043E1,2.545252890E1,-4.749232960E0,1.274462677E1,1.659999967E0,1.441407047E1,7.497317876E-2,7.747759861E0,6.000000000E0,-1.000000000E0
3.377281153E1,6.507866559E1,2.545247163E1,-1.614006197E0,1.587987862E1,1.914074510E0,3.596332875E2,7.755617869E-2,8.622079918E0,1.911493384E0,-1.000000000E0
3.477280474E1,6.507867740E1,2.545251910E1,-1.445614441E0,1.604826901E1,1.905531104E0,1.753731136E1,8.255866935E-2,8.966320496E0,1.961191280E0,-1.000000000E0
3.577279866E1,6.507870153E1,2.545242899E1,-1.388370687E0,1.610553373E1,2.086205291E0,3.549606977E2,8.476089843E-2,5.338616338E0,2.427736985E0,-1.000000000E0
3.677279115E1,6.507868797E1,2.545246324E1,-1.493924614E0,1.599997010E1,1.376798344E0,3.594606149E2,8.596775345E-2,4.869052906E0,3.180701311E0,-1.000000000E0
3.777278447E1,6.507869207E1,2.545248710E1,-2.092001680E0,1.540189162E1,1.708898164E0,1.507912504E1,8.698282473E-2,4.826534564E0,3.244857644E0,-1.000000000E0
3.877277684E1,6.507869725E1,2.545246926E1,-2.001691575E0,1.549220603E1,1.424345466E0,3.595970668E2,8.740843095E-2,4.802058884E0,3.280970513E0,-1.000000000E0
3.977276981E1,6.507869362E1,2.545246638E1,-2.236649557E0,1.525724698E1,6.819434502E-1,2.299785741E0,8.861838739E-2,4.791184879E0,3.296829460E0,-1.000000000E0
4.077276278E1,6.507870450E1,2.545246589E1,-2.541809509E0,1.495209139E1,1.171376454E0,3.582570218E2,9.156051994E-2,4.778242112E0,3.315560186E0,-1.000000000E0
4.177275550E1,6.507873058E1,2.545245532E1,-2.809524188E0,1.468438834E1,2.171193085E0,3.532510389E2,9.225984075E-2,4.766157408E0,3.332908729E0,-1.000000000E0
4.277274835E1,6.507873287E1,2.545246922E1,-1.894103155E0,1.559980851E1,1.318505779E0,1.194099546E0,9.286512037E-2,4.748882506E0,3.357477025E0,-1.000000000E0
4.377274108E1,6.507873725E1,2.545246153E1,-8.368633920E-1,1.665705098E1,8.164438190E-1,3.549479984E2,9.660119218E-2,4.748226315E0,3.358404963E0,-1.000000000E0
4.477273357E1,6.507876235E1,2.545251453E1,-1.903775328E0,1.559014221E1,2.087208896E0,3.267867387E1,9.778518550E-2,4.744145495E0,3.364167141E0,-1.000000000E0
4.577272618E1,6.507876901E1,2.545253425E1,-3.365630770E0,1.412828689E1,1.574344318E0,4.622398197E1,9.972660281E-2,4.744714336E0,3.363364818E0,-1.000000000E0
4.677271879E1,6.507878349E1,2.545251113E1,-3.900575687E0,1.359335062E1,1.327576676E0,9.443068083E0,1.014461884E-1,4.745130516E0,3.362777634E0,-1.000000000E0
4.777271080E1,6.507879880E1,2.545250580E1,-3.647568067E0,1.384636496E1,1.463240654E0,3.579259645E2,1.029957463E-1,4.745134878E0,3.362771479E0,-1.000000000E0
4.877270257E1,6.507881239E1,2.545249857E1,-2.872464313E0,1.462147499E1,1.435508678E0,3.555100714E2,1.045103849E-1,4.737773478E0,3.373134967E0,-1.000000000E0
4.977269554E1,6.507882200E1,2.545247565E1,-2.448838765E0,1.504510725E1,1.350594040E0,3.404514794E2,1.060077971E-1,4.737487590E0,3.373536477E0,-1.000000000E0
5.077268744E1,6.507883543E1,2.545247339E1,-2.420966261E0,1.507298534E1,1.289961793E0,3.482259511E2,1.077147284E-1,4.734850004E0,3.377237403E0,-1.000000000E0
5.177268159E1,6.507885077E1,2.545247201E1,-2.271225460E0,1.522273236E1,1.415644656E0,3.565202926E2,1.106355366E-1,4.738725243E0,3.371797756E0,-1.000000000E0
5.277267218E1,6.507887237E1,2.545243651E1,-3.963860245E-1,1.709758483E1,2.019784893E0,3.396561555E2,1.114661293E-1,4.736496219E0,3.374928236E0,-1.000000000E0
5.377266419E1,6.507887723E1,2.545242307E1,1.505245072E0,1.899921956E1,1.164155814E0,3.311629232E2,1.132321028E-1,4.733312506E0,3.379391921E0,-1.000000000E0
5.477265632E1,6.507889259E1,2.545243271E1,1.807770157E0,1.930174948E1,1.309844665E0,3.498842931E2,1.146831141E-1,4.730105116E0,3.383879818E0,-1.000000000E0
5.577264929E1,6.507890451E1,2.545242012E1,1.492875432E0,1.898686106E1,1.369272651E0,3.493919998E2,1.162454562E-1,4.726630248E0,3.388731847E0,-1.000000000E0
5.677264011E1,6.507891851E1,2.545241729E1,2.216950112E0,1.971094162E1,1.366041326E0,3.509287800E2,1.179359212E-1,4.731553721E0,3.381853991E0,-1.000000000E0
5.777263129E1,6.507893324E1,2.545240834E1,2.012941116E0,1.950693958E1,1.518477829E0,3.496368899E2,1.192223816E-1,4.731748721E0,3.381581150E0,-1.000000000E0
5.877262461E1,6.507894458E1,2.545240288E1,1.865143749E0,1.935914738E1,1.422317027E0,3.463727424E2,1.209144441E-1,4.729335471E0,3.384955396E0,-1.000000000E0
5.977261591E1,6.507895977E1,2.545240094E1,1.637774392E0,1.913178426E1,1.548686466E0,3.523313978E2,1.226750550E-1,4.735576182E0,3.376219078E0,-1.000000000E0
6.077260804E1,6.507897543E1,2.545239537E1,1.709438232E0,1.920345499E1,1.450001281E0,3.500693940E2,1.243545614E-1,4.734281135E0,3.378034809E0,-1.000000000E0
6.177259958E1,6.507898978E1,2.545238416E1,1.455927278E0,1.894995112E1,1.461652312E0,3.454655702E2,1.259928370E-1,4.734424965E0,3.377833223E0,-1.000000000E0
6.277259195E1,6.507900428E1,2.545237805E1,1.004481751E0,1.849851210E1,1.452769331E0,3.459342165E2,1.275566325E-1,4.735315302E0,3.376584964E0,-1.000000000E0
6.377258348E1,6.507901805E1,2.545237118E1,7.765427195E-1,1.827057937E1,1.445284445E0,3.473006832E2,1.291292439E-1,4.735917563E0,3.375740196E0,-1.000000000E0
6.477257562E1,6.507903193E1,2.545236475E1,8.806741433E-1,1.837471709E1,1.454875986E0,3.475002862E2,1.306548410E-1,4.736222514E0,3.375312331E0,-1.000000000E0
6.577256763E1,6.507904514E1,2.545235599E1,1.199306852E0,1.869335613E1,1.440243216E0,3.469930099E2,1.323347778E-1,4.736076808E0,3.375516775E0,-1.000000000E0
6.677255881E1,6.507906015E1,2.545235196E1,1.116179331E0,1.861023504E1,1.502408912E0,3.488428577E2,1.339975009E-1,4.736833745E0,3.374454490E0,-1.000000000E0
6.777255070E1,6.507907342E1,2.545233560E1,1.006711935E0,1.850077497E1,1.490138854E0,3.401811552E2,1.355923046E-1,4.735928430E0,3.375724951E0,-1.000000000E0
6.877254272E1,6.507908736E1,2.545232760E1,9.561138498E-1,1.845018340E1,1.481725963E0,3.416461619E2,1.369280510E-1,4.734292692E0,3.378018612E0,-1.000000000E0
6.977253377E1,6.507909852E1,2.545231704E1,4.147782316E-1,1.790885353E1,1.383258509E0,3.391902978E2,1.384208639E-1,4.735394990E0,3.376473207E0,-1.000000000E0
7.077252567E1,6.507911100E1,2.545230531E1,9.016245892E-1,1.839570631E1,1.356664398E0,3.403957129E2,1.399972192E-1,4.737705739E0,3.373230108E0,-1.000000000E0
7.177251792E1,6.507912500E1,2.545230001E1,1.476596176E0,1.897068410E1,1.389129450E0,3.426307182E2,1.414747487E-1,4.734151670E0,3.378216245E0,-1.000000000E0
7.277250886E1,6.507913806E1,2.545229409E1,1.766171605E0,1.926026543E1,1.429094054E0,3.449121535E2,1.430573811E-1,4.731358160E0,3.382127584E0,-1.000000000E0
7.377250111E1,6.507915209E1,2.545228845E1,1.812155784E0,1.930625587E1,1.627480240E0,3.455850709E2,1.444539494E-1,4.731375608E0,3.382103176E0,-1.000000000E0
7.477249253E1,6.507916455E1,2.545228481E1,1.317014793E0,1.881112026E1,1.511594094E0,3.456978362E2,1.459597031E-1,4.731302895E0,3.382204894E0,-1.000000000E0
7.577248502E1,6.507917761E1,2.545227629E1,7.979440959E-1,1.829205580E1,1.515175542E0,3.465774735E2,1.476198185E-1,4.735197577E0,3.376750055E0,-1.000000000E0
7.677247572E1,6.507919162E1,2.545226401E1,4.455987941E-1,1.793971759E1,1.437787460E0,3.434130720E2,1.492877656E-1,4.736897823E0,3.374364539E0,-1.000000000E0
7.777246737E1,6.507920404E1,2.545224408E1,1.086795124E0,1.858092137E1,1.389709357E0,3.373751585E2,1.508725683E-1,4.735744309E0,3.375983245E0,-1.000000000E0
7.877245867E1,6.507921654E1,2.545222782E1,1.047810567E0,1.854194382E1,1.440271820E0,3.350697165E2,1.522867981E-1,4.735000713E0,3.377026100E0,-1.000000000E0
7.977245116E1,6.507922847E1,2.545221731E1,1.383457407E0,1.887759670E1,1.423448225E0,3.386430063E2,1.538695984E-1,4.735022580E0,3.376995440E0,-1.000000000E0
8.077244270E1,6.507924230E1,2.545220936E1,1.569615525E0,1.906376130E1,1.459286835E0,3.413130365E2,1.556360557E-1,4.732286330E0,3.380828763E0,-1.000000000E0
8.177243471E1,6.507925713E1,2.545219582E1,1.733168443E0,1.922732179E1,1.667697701E0,3.415129316E2,1.568295699E-1,4.740367197E0,3.369488962E0,-1.000000000E0
8.277242601E1,6.507926770E1,2.545219150E1,9.290515287E-1,1.842320960E1,1.425969865E0,3.449391639E2,1.582658034E-1,4.737228779E0,3.373899899E0,-1.000000000E0
8.377241755E1,6.507927960E1,2.545217954E1,2.683682847E0,2.017784714E1,1.279578977E0,3.439163414E2,1.593169621E-1,4.740648838E0,3.369092701E0,-1.000000000E0
8.477241445E1,6.507928848E1,2.545218720E1,3.194811469E0,2.068897830E1,1.181273684E0,3.540920407E2,1.610221961E-1,4.730108022E0,3.383875757E0,-1.000000000E0
8.577240062E1,6.507930361E1,2.545218123E1,3.073004888E0,2.056717845E1,1.324230833E0,3.530001944E2,1.629597215E-1,4.729219173E0,3.385117878E0,-1.000000000E0
8.677239263E1,6.507932099E1,2.545218409E1,3.021023043E0,2.051520310E1,1.522838236E0,3.563468260E2,1.646035879E-1,4.732585246E0,3.380410318E0,-1.000000000E0
8.777238452E1,6.507933494E1,2.545217246E1,2.392300664E0,1.988648771E1,1.492058205E0,3.486285965E2,1.661125943E-1,4.734503951E0,3.377722512E0,-1.000000000E0
8.877237642E1,6.507934812E1,2.545216474E1,2.380818900E0,1.987501213E1,1.462885006E0,3.498185028E2,1.677184036E-1,4.736396718E0,3.375067875E0,-1.000000000E0
8.977236748E1,6.507936167E1,2.545215292E1,2.166758201E0,1.966095829E1,1.467026499E0,3.470978389E2,1.693607176E-1,4.736401634E0,3.375060976E0,-1.000000000E0
9.077235937E1,6.507937514E1,2.545213852E1,2.251256671E0,1.974546392E1,1.433801894E0,3.424469694E2,1.711096021E-1,4.737305121E0,3.373792705E0,-1.000000000E0
9.177235115E1,6.507939026E1,2.545212822E1,2.312972725E0,1.980718725E1,1.460267156E0,3.423973852E2,1.727616248E-1,4.738289362E0,3.372410259E0,-1.000000000E0
9.277234292E1,6.507940500E1,2.545212396E1,2.622370437E0,2.011659133E1,1.427120071E0,3.466288576E2,1.743478372E-1,4.737533957E0,3.373471364E0,-1.000000000E0
9.377233398E1,6.507941875E1,2.545211489E1,2.563814907E0,2.005804239E1,1.518955676E0,3.463963291E2,1.757267339E-1,4.740774037E0,3.368916527E0,-1.000000000E0
9.477232540E1,6.507943114E1,2.545211600E1,2.407749155E0,1.990198138E1,1.445832556E0,3.521085340E2,1.774002493E-1,4.739055601E0,3.371333422E0,-1.000000000E0
9.577231681E1,6.507944619E1,2.545211652E1,2.993501030E0,2.048773913E1,1.585600571E0,3.549939919E2,1.786689480E-1,4.739758568E0,3.370345049E0,-1.000000000E0
9.677230918E1,6.507945635E1,2.545210421E1,2.161290143E0,1.965553383E1,1.410373671E0,3.492096864E2,1.804447811E-1,4.739293854E0,3.370998486E0,-1.000000000E0
9.777230072E1,6.507947086E1,2.545208839E1,1.619201053E0,1.911345249E1,1.567316071E0,3.424067726E2,1.818680390E-1,4.742627479E0,3.366306824E0,-1.000000000E0
9.877229321E1,6.507948352E1,2.545209294E1,8.979745684E-1,1.839223042E1,1.315255022E0,3.547694554E2,1.832980082E-1,4.743588551E0,3.364952406E0,-1.000000000E0
